sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1584543601;595492;1317;82285;1584543601;595492;-0;
1584543601;695940;1317;182745;1584543601;695940;-0;
1584543601;796412;1317;283218;1584543601;796412;-0;
1584543601;896869;1317;383676;1584543601;896869;-0;
1584543601;997330;1317;484116;1584543601;997330;-0;
1584543602;97748;1317;584538;1584543602;97748;-0;
1584543602;198536;1317;685418;1584543602;198536;-0;
1584543602;299408;1317;786298;1584543602;299408;-0;
1584543602;400103;1317;886933;1584543602;400103;-0;
1584543602;500683;1317;987485;1584543602;500683;-0;
1584543602;601246;1318;88047;1584543602;601246;-0;
1584543602;701708;1318;188568;1584543602;701708;-0;
1584543602;802245;1318;289095;1584543602;802245;-0;
1584543602;902804;1318;389647;1584543602;902804;-0;
1584543603;3319;1318;490172;1584543603;3319;-0;
1584543603;104063;1318;591044;1584543603;104063;-0;
1584543603;205232;1318;692140;1584543603;205232;-0;
1584543603;305413;1318;792234;1584543603;305413;-0;
1584543603;406480;1318;893295;1584543603;406480;-0;
1584543603;506255;1318;993045;1584543603;506255;-0;
1584543603;606695;1319;93482;1584543603;606695;-0;
1584543603;707127;1319;193919;1584543603;707127;-0;
1584543603;807564;1319;294353;1584543603;807564;-0;
1584543603;907991;1319;394778;1584543603;907991;-0;
1584543604;8640;1319;495519;1584543604;8640;-0;
1584543604;109619;1319;596519;1584543604;109619;-0;
1584543604;210241;1319;697036;1584543604;210241;-0;
1584543604;310713;1319;797519;1584543604;310713;-0;
1584543604;411353;1319;898154;1584543604;411353;-0;
1584543604;511818;1319;998617;1584543604;511818;-0;
1584543604;612264;1320;99052;1584543604;612264;-0;
1584543604;712827;1320;199638;1584543604;712827;-0;
1584543604;813316;1320;300113;1584543604;813316;0.03298867;
1584543604;914078;1320;400968;1584543604;914078;0.08097139;
1584543605;14755;1320;501564;1584543605;14755;0.1259624;
