sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1584542901;930748;617;417537;1584542901;930748;-0;
1584542902;31561;617;518457;1584542902;31561;-0;
1584542902;132530;617;619421;1584542902;132530;-0;
1584542902;233145;617;719936;1584542902;233145;-0;
1584542902;333612;617;820406;1584542902;333612;-0;
1584542902;434058;617;920851;1584542902;434058;-0;
1584542902;534504;618;21299;1584542902;534504;-0;
1584542902;635023;618;121823;1584542902;635023;-0;
1584542902;735492;618;222278;1584542902;735492;-0;
1584542902;835938;618;322729;1584542902;835938;-0;
1584542902;936741;618;423681;1584542902;936741;-0;
1584542903;37522;618;524326;1584542903;37522;-0;
1584542903;138032;618;624842;1584542903;138032;-0;
1584542903;238514;618;725333;1584542903;238514;-0;
1584542903;339171;618;825975;1584542903;339171;-0;
1584542903;439722;618;926584;1584542903;439722;-0;
1584542903;540269;619;27067;1584542903;540269;-0;
1584542903;640729;619;127525;1584542903;640729;-0;
1584542903;741731;619;228668;1584542903;741731;-0;
1584542903;842512;619;329318;1584542903;842512;-0;
1584542903;943028;619;429822;1584542903;943028;-0;
1584542904;43522;619;530334;1584542904;43522;-0;
1584542904;144181;619;630997;1584542904;144181;-0;
1584542904;244776;619;731595;1584542904;244776;-0;
1584542904;345355;619;832144;1584542904;345355;-0;
1584542904;445836;619;932628;1584542904;445836;-0;
1584542904;546664;620;33548;1584542904;546664;-0;
1584542904;647398;620;134207;1584542904;647398;0.07197852;
1584542904;747900;620;234689;1584542904;747900;0.07197852;
1584542904;848439;620;335239;1584542904;848439;0.07197852;
1584542904;948974;620;435765;1584542904;948974;0.07197852;
1584542905;49454;620;536245;1584542905;49454;0.07197852;
1584542905;149919;620;636707;1584542905;149919;0.07197852;
1584542905;250531;620;737338;1584542905;250531;0.07197852;
1584542905;351579;620;838657;1584542905;351579;0.0749791;
1584542905;451691;620;938493;1584542905;451691;0.1499493;
1584542905;552254;621;39048;1584542905;552254;0.1499493;
