sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1584543043;357318;758;844113;1584543043;357318;-0;
1584543043;458356;758;945232;1584543043;458356;-0;
1584543043;559217;759;46032;1584543043;559217;-0;
1584543043;659981;759;146780;1584543043;659981;-0;
1584543043;760736;759;247535;1584543043;760736;-0;
1584543043;861546;759;348372;1584543043;861546;-0;
1584543043;962251;759;449094;1584543043;962251;-0;
1584543044;63008;759;549823;1584543044;63008;-0;
1584543044;163853;759;650701;1584543044;163853;-0;
1584543044;264907;759;751779;1584543044;264907;-0;
1584543044;365696;759;852512;1584543044;365696;-0;
1584543044;466448;759;953277;1584543044;466448;-0;
1584543044;567233;760;54065;1584543044;567233;-0;
1584543044;668014;760;154845;1584543044;668014;-0;
1584543044;768790;760;255624;1584543044;768790;-0;
1584543044;869789;760;356620;1584543044;869789;-0;
1584543044;970591;760;457415;1584543044;970591;-0;
1584543045;71713;760;558618;1584543045;71713;-0;
1584543045;171590;760;658409;1584543045;171590;-0;
1584543045;272331;760;759177;1584543045;272331;-0;
1584543045;373230;760;860054;1584543045;373230;-0;
1584543045;474019;760;960844;1584543045;474019;0.0509833;
1584543045;574805;761;61628;1584543045;574805;0.07797969;
1584543045;675549;761;162374;1584543045;675549;0.06298564;
1584543045;776274;761;263099;1584543045;776274;0.06298564;
1584543045;876987;761;363806;1584543045;876987;0.05998505;
1584543045;977676;761;464498;1584543045;977676;0.05998505;
1584543046;78468;761;565287;1584543046;78468;0.06298564;
1584543046;179172;761;666005;1584543046;179172;0.05998505;
1584543046;279970;761;766797;1584543046;279970;0.06298564;
1584543046;380682;761;867534;1584543046;380682;0.05998505;
1584543046;481529;761;968349;1584543046;481529;0.06298564;
1584543046;582499;762;69419;1584543046;582499;0.06298564;
1584543046;682453;762;169295;1584543046;682453;0.06298564;
1584543046;783275;762;270140;1584543046;783275;0.06298564;
1584543046;884177;762;371041;1584543046;884177;0.08097139;
1584543046;985123;762;471956;1584543046;985123;0.09597431;
1584543047;85818;762;572619;1584543047;85818;0.09297372;
1584543047;186434;762;673271;1584543047;186434;0.09597431;
1584543047;287204;762;774035;1584543047;287204;0.1169607;
1584543047;388168;762;875095;1584543047;388168;0.1379559;
1584543047;488131;762;974953;1584543047;488131;0.07197852;
1584543047;588922;763;75781;1584543047;588922;0.06298564;
1584543047;689729;763;176572;1584543047;689729;0.06298564;
1584543047;790468;763;277319;1584543047;790468;0.06298564;
1584543047;891311;763;378163;1584543047;891311;0.1349553;
1584543047;992053;763;478908;1584543047;992053;0.1349553;
1584543048;92826;763;579647;1584543048;92826;0.1349553;
1584543048;193797;763;680723;1584543048;193797;0.1349553;
1584543048;294751;763;781612;1584543048;294751;0.1319547;
1584543048;395642;763;882480;1584543048;395642;0.1319547;
1584543048;496320;763;983154;1584543048;496320;0.1349553;
1584543048;597155;764;83993;1584543048;597155;0.1349553;
1584543048;697861;764;184702;1584543048;697861;0.05998505;
1584543048;798760;764;285612;1584543048;798760;-0;
1584543048;899433;764;386256;1584543048;899433;-0.2878963;
1584543049;107;764;486947;1584543049;107;-0;
1584543049;100848;764;587786;1584543049;100848;-0;
1584543049;201654;764;688494;1584543049;201654;-0;
1584543049;302472;764;789305;1584543049;302472;0.2789034;
1584543049;403177;764;890039;1584543049;403177;0.290888;
1584543049;503957;764;990831;1584543049;503957;-0;
1584543049;604709;765;91569;1584543049;604709;-0;
1584543049;705441;765;192276;1584543049;705441;-0;
1584543049;806225;765;293067;1584543049;806225;-0.290888;
1584543049;907037;765;393874;1584543049;907037;-0.290888;
1584543050;7664;765;494574;1584543050;7664;-0;
1584543050;108512;765;595343;1584543050;108512;-0;
1584543050;209296;765;696139;1584543050;209296;-0.06596847;
1584543050;310120;765;796957;1584543050;310120;-0.1229529;
1584543050;410842;765;897885;1584543050;410842;-0;
1584543050;511780;765;998605;1584543050;511780;-0.05697559;
1584543050;612493;766;99331;1584543050;612493;-0.1349464;
1584543050;713736;766;200602;1584543050;713736;-0.1169518;
1584543050;813726;766;300588;1584543050;813726;-0.1139512;
1584543050;914375;766;401195;1584543050;914375;-0.1499404;
1584543051;14966;766;501791;1584543051;14966;-0.137947;
1584543051;115525;766;602327;1584543051;115525;-0;
1584543051;216151;766;702978;1584543051;216151;0.01200234;
1584543051;317032;766;803861;1584543051;317032;0.009001753;
1584543051;417615;766;904473;1584543051;417615;0.02099521;
1584543051;518291;767;5100;1584543051;518291;0.01200234;
1584543051;618928;767;105727;1584543051;618928;-0;
1584543051;719442;767;206237;1584543051;719442;-0;
1584543051;819961;767;306751;1584543051;819961;0.03898985;
1584543051;920461;767;407289;1584543051;920461;0.0479916;
1584543052;20502;767;507589;1584543052;20502;-0;
1584543052;121455;767;608254;1584543052;121455;0.01500292;
1584543052;221929;767;708726;1584543052;221929;0.01200234;
1584543052;322412;767;809211;1584543052;322412;0.003000584;
1584543052;422922;767;909719;1584543052;422922;0.03298867;
1584543052;523408;768;10210;1584543052;523408;0.05998505;
1584543052;624436;768;111338;1584543052;624436;0.05698447;
1584543052;724316;768;211156;1584543052;724316;0.05698447;
1584543052;824879;768;311671;1584543052;824879;0.08697256;
1584543052;925455;768;412254;1584543052;925455;0.05398389;
1584543053;26022;768;512827;1584543053;26022;0.02699638;
1584543053;126565;768;613361;1584543053;126565;0.09597431;
1584543053;227042;768;713834;1584543053;227042;0.1079678;
1584543053;327676;768;814468;1584543053;327676;0.143957;
1584543053;428589;768;915476;1584543053;428589;0.1469487;
1584543053;530306;769;17320;1584543053;530306;0.143957;
1584543053;630471;769;117295;1584543053;630471;0.1409564;
1584543053;731252;769;218080;1584543053;731252;0.0509833;
1584543053;831878;769;318672;1584543053;831878;-0;
1584543053;932463;769;419253;1584543053;932463;-0;
1584543054;32938;769;519738;1584543054;32938;-0;
1584543054;133416;769;620218;1584543054;133416;-0;
1584543054;234021;769;720823;1584543054;234021;-0;
1584543054;334919;769;821844;1584543054;334919;0.01500292;
1584543054;434754;769;921570;1584543054;434754;0.0749791;
1584543054;535298;770;22123;1584543054;535298;0.0749791;
1584543054;635880;770;122688;1584543054;635880;0.0749791;
1584543054;736381;770;223179;1584543054;736381;0.09597431;
1584543054;836879;770;323681;1584543054;836879;0.1259624;
1584543054;937371;770;424173;1584543054;937371;0.1259624;
1584543055;37897;770;524705;1584543055;37897;0.1109684;
1584543055;138424;770;625228;1584543055;138424;0.09297372;
1584543055;239133;770;725926;1584543055;239133;0.09297372;
1584543055;339586;770;826376;1584543055;339586;0.0749791;
1584543055;440125;770;926916;1584543055;440125;0.07197852;
1584543055;540590;771;27388;1584543055;540590;0.0749791;
1584543055;641131;771;127937;1584543055;641131;0.0749791;
1584543055;741599;771;228387;1584543055;741599;0.0749791;
1584543055;842160;771;328958;1584543055;842160;0.0749791;
1584543055;942646;771;429437;1584543055;942646;0.0749791;
1584543056;43221;771;530008;1584543056;43221;0.0749791;
1584543056;143945;771;630762;1584543056;143945;0.0749791;
1584543056;244659;771;731448;1584543056;244659;0.0749791;
1584543056;345167;771;831955;1584543056;345167;0.0749791;
1584543056;445721;771;932516;1584543056;445721;0.0749791;
1584543056;546258;772;33056;1584543056;546258;0.06897793;
1584543056;646759;772;133547;1584543056;646759;0.06597735;
1584543056;747344;772;234136;1584543056;747344;0.05998505;
1584543056;847941;772;334732;1584543056;847941;0.05698447;
1584543056;961331;772;448143;1584543056;961331;0.0479916;
1584543057;61914;772;548740;1584543057;61914;-0;
1584543057;162574;772;649373;1584543057;162574;0.02099521;
1584543057;263073;772;749859;1584543057;263073;0.0749791;
1584543057;363585;772;850384;1584543057;363585;0.09597431;
1584543057;464162;772;950965;1584543057;464162;0.09896602;
1584543057;564682;773;51473;1584543057;564682;0.09896602;
1584543057;665168;773;151959;1584543057;665168;0.09597431;
1584543057;765677;773;252465;1584543057;765677;0.1019666;
1584543057;866237;773;353055;1584543057;866237;0.09896602;
1584543057;966857;773;453676;1584543057;966857;0.09297372;
1584543058;67424;773;554234;1584543058;67424;0.08097139;
1584543058;167978;773;654786;1584543058;167978;0.07197852;
1584543058;268577;773;755400;1584543058;268577;0.07197852;
1584543058;369151;773;855957;1584543058;369151;0.06897793;
1584543058;469714;773;956517;1584543058;469714;0.07197852;
1584543058;570251;774;57044;1584543058;570251;0.07197852;
1584543058;670810;774;157607;1584543058;670810;-0;
1584543058;771393;774;258371;1584543058;771393;-0;
1584543058;871618;774;358421;1584543058;871618;-0;
1584543058;972202;774;459022;1584543058;972202;-0;
1584543059;72791;774;559603;1584543059;72791;-0;
1584543059;173400;774;660224;1584543059;173400;-0.03898096;
1584543059;275058;774;761892;1584543059;275058;-0;
1584543059;374859;774;861721;1584543059;374859;-0;
1584543059;475568;774;962388;1584543059;475568;-0;
1584543059;576117;775;62923;1584543059;576117;-0;
1584543059;676698;775;163512;1584543059;676698;-0;
1584543059;777250;775;264058;1584543059;777250;-0;
1584543059;877812;775;364608;1584543059;877812;-0;
1584543059;978406;775;465223;1584543059;978406;-0;
1584543060;79020;775;565841;1584543060;79020;-0;
1584543060;179821;775;666687;1584543060;179821;-0;
1584543060;280675;775;767566;1584543060;280675;-0;
1584543060;381433;775;868220;1584543060;381433;-0;
1584543060;481979;775;968789;1584543060;481979;-0;
1584543060;582541;776;69341;1584543060;582541;-0;
1584543060;683082;776;169886;1584543060;683082;-0;
1584543060;783686;776;270490;1584543060;783686;-0;
1584543060;884307;776;371103;1584543060;884307;-0;
1584543060;984810;776;471611;1584543060;984810;-0;
1584543061;85463;776;572265;1584543061;85463;-0;
1584543061;186039;776;672856;1584543061;186039;-0;
1584543061;286602;776;773404;1584543061;286602;-0;
1584543061;387205;776;874009;1584543061;387205;-0;
1584543061;487774;776;974572;1584543061;487774;-0;
1584543061;588321;777;75115;1584543061;588321;-0;
1584543061;688851;777;175648;1584543061;688851;-0;
1584543061;789611;777;276476;1584543061;789611;0.04499101;
1584543061;890629;777;377511;1584543061;890629;0.0479916;
1584543061;991386;777;478200;1584543061;991386;0.0479916;
1584543062;91940;777;578748;1584543062;91940;0.0479916;
1584543062;192504;777;679319;1584543062;192504;0.0479916;
1584543062;293070;777;779873;1584543062;293070;0.0479916;
1584543062;393600;777;880407;1584543062;393600;0.0479916;
1584543062;494225;777;981025;1584543062;494225;0.0479916;
1584543062;594790;778;81604;1584543062;594790;0.0479916;
1584543062;695427;778;182239;1584543062;695427;0.0479916;
1584543062;796068;778;282880;1584543062;796068;0.0479916;
1584543062;896603;778;383387;1584543062;896603;0.0479916;
1584543062;997238;778;484041;1584543062;997238;0.0479916;
1584543063;97754;778;584541;1584543063;97754;0.0479916;
1584543063;198274;778;685081;1584543063;198274;0.0479916;
1584543063;298844;778;785649;1584543063;298844;0.0479916;
1584543063;399681;778;886563;1584543063;399681;0.05398389;
1584543063;500399;778;987209;1584543063;500399;0.1259624;
1584543063;601140;779;87966;1584543063;601140;0.1649434;
1584543063;701657;779;188460;1584543063;701657;0.1649434;
1584543063;802163;779;288967;1584543063;802163;0.1409564;
1584543063;902652;779;389442;1584543063;902652;0.1079678;
1584543064;3158;779;489956;1584543064;3158;0.1109684;
1584543064;103681;779;590483;1584543064;103681;0.01200234;
1584543064;204432;779;691313;1584543064;204432;0.01200234;
1584543064;305163;779;791988;1584543064;305163;0.0239958;
1584543064;405869;779;892678;1584543064;405869;0.09597431;
1584543064;506351;779;993146;1584543064;506351;0.1649434;
1584543064;606925;780;93717;1584543064;606925;0.1889392;
1584543064;707573;780;194397;1584543064;707573;0.2219278;
1584543064;808155;780;294963;1584543064;808155;0.1259624;
1584543064;908635;780;395459;1584543064;908635;0.0509833;
